datetime_utc,actual_return,tech_signal,ml_signal,sg_signal,sg_policy,regime,regime_confidence
2015-11-01 20:00:00,0.0007527013718091841,1,1,0.0,default_regime,2,0.9973054
2015-11-02 00:00:00,0.0012683343942149071,1,-1,0.0,default_regime,2,0.9974068
2015-11-02 04:00:00,-0.0029377384237618976,1,-1,0.0,default_regime,2,0.9972715
2015-11-02 08:00:00,0.002059135074744503,1,1,0.0,default_regime,2,0.9978017
2015-11-02 12:00:00,-0.002168106115798088,1,-1,0.0,default_regime,2,0.99833554
2015-11-02 16:00:00,0.00028148424101116586,1,1,1.0,default_regime,0,0.9974215
2015-11-02 20:00:00,6.354999343913233e-05,1,1,1.0,default_regime,0,0.99750525
2015-11-03 00:00:00,0.0006352779100647754,1,1,1.0,default_regime,0,0.99745065
2015-11-03 04:00:00,-0.00457392030596723,1,-1,0.0,default_regime,2,0.99820876
2015-11-03 08:00:00,-0.0018518777215057736,1,1,0.0,default_regime,2,0.99832386
2015-11-03 12:00:00,0.0011589654565870887,-1,1,0.0,default_regime,2,0.9982205
2015-11-03 16:00:00,-0.00024628182975063544,-1,-1,0.0,default_regime,2,0.9982634
2015-11-03 20:00:00,-0.0006479196076328499,-1,1,0.0,default_regime,2,0.99830616
2015-11-04 00:00:00,-0.001333662379219554,-1,-1,0.0,default_regime,2,0.9982205
2015-11-04 04:00:00,-0.0010517411857301389,-1,-1,0.0,default_regime,3,0.9969656
2015-11-04 08:00:00,-0.006416663056198491,-1,-1,-1.0,default_regime,3,0.9976609
2015-11-04 12:00:00,-9.209714413269495e-05,1,1,0.0,default_regime,3,0.99787974
2015-11-04 16:00:00,0.0005524556794838028,1,1,0.0,default_regime,3,0.99802977
2015-11-04 20:00:00,0.0010212391000868526,1,1,0.0,default_regime,3,0.99802977
2015-11-05 00:00:00,-0.0035558377094778684,-1,1,0.0,default_regime,3,0.99802977
2015-11-05 04:00:00,0.0034178933560114378,1,1,0.0,default_regime,3,0.99802977
2015-11-05 08:00:00,-0.0007820443035631181,-1,-1,0.0,default_regime,3,0.99802977
2015-11-05 12:00:00,0.001885066696446427,-1,1,0.0,default_regime,3,0.99802977
2015-11-05 16:00:00,-0.00015618755400702354,-1,1,0.0,default_regime,3,0.9980313
2015-11-05 20:00:00,0.0003490914471301727,-1,1,0.0,default_regime,3,0.9980751
2015-11-06 00:00:00,-0.001286729403749726,1,1,0.0,default_regime,3,0.9981059
2015-11-06 04:00:00,0.0003494188648175821,1,-1,0.0,default_regime,3,0.9980313
2015-11-06 08:00:00,-0.012572847098196062,1,-1,-1.0,default_regime,4,0.99392736
2015-11-06 12:00:00,0.00039094133585530105,1,1,0.0,default_regime,4,0.9965581
2015-11-06 16:00:00,-0.0007913491985106236,1,-1,0.0,default_regime,4,0.9965581
2015-11-06 20:00:00,-0.0007174102729653568,1,-1,0.0,default_regime,3,0.99572563
2015-11-08 20:00:00,0.0034426004207513982,1,1,0.0,default_regime,3,0.9965745
2015-11-09 00:00:00,-0.00015791404864056816,-1,1,0.0,default_regime,3,0.99645895
2015-11-09 04:00:00,0.0014110528608186606,-1,-1,-1.0,default_regime,3,0.9970855
2015-11-09 08:00:00,-0.003140449304934758,-1,-1,-1.0,default_regime,4,0.9953661
2015-11-09 12:00:00,0.001069603372169111,-1,1,-1.0,default_regime,4,0.996729
2015-11-09 16:00:00,0.00023237116285494084,-1,1,-1.0,default_regime,3,0.9962276
2015-11-09 20:00:00,-0.0009577164310915767,1,1,-1.0,default_regime,3,0.9973515
2015-11-10 00:00:00,0.000883363533617684,1,1,0.0,default_regime,3,0.9980544
2015-11-10 04:00:00,-0.002820193698087295,1,-1,0.0,default_regime,3,0.9980544
2015-11-10 08:00:00,-0.003417210738606691,1,1,0.0,default_regime,3,0.9980544
2015-11-10 12:00:00,0.0012804876948822816,1,1,0.0,default_regime,3,0.9974922
2015-11-10 16:00:00,0.0028634740330660603,-1,-1,0.0,default_regime,3,0.9970143
2015-11-10 20:00:00,0.0031060257643620373,1,-1,0.0,default_regime,3,0.9970143
2015-11-11 00:00:00,-0.001951764177370738,1,1,-1.0,default_regime,3,0.996636
